"population","period","HW","date","julian","CPUE"
"Quinalt","Historic","Wild",1955-01-02,1,6.42
"Quinalt","Historic","Wild",1955-01-07,6,6.15
"Quinalt","Historic","Wild",1955-01-12,11,6.2
"Quinalt","Historic","Wild",1955-01-17,16,4.11
"Quinalt","Historic","Wild",1955-01-22,21,6.65
"Quinalt","Historic","Wild",1955-01-27,26,5.08
"Quinalt","Historic","Wild",1955-02-01,31,4.88
"Quinalt","Historic","Wild",1955-02-06,36,4.61
"Quinalt","Historic","Wild",1955-02-11,41,5.7
"Quinalt","Historic","Wild",1955-02-16,46,5.31
"Quinalt","Historic","Wild",1955-02-21,51,4.77
"Quinalt","Historic","Wild",1955-02-26,56,4.2
"Quinalt","Historic","Wild",1955-03-03,61,4.56
"Quinalt","Historic","Wild",1955-03-08,66,4.53
"Quinalt","Historic","Wild",1955-03-13,71,5.46
"Quinalt","Historic","Wild",1955-03-18,76,5.18
"Quinalt","Historic","Wild",1955-03-23,81,4.09
"Quinalt","Historic","Wild",1955-03-28,86,3.81
"Quinalt","Historic","Wild",1955-04-02,91,3
"Quinalt","Historic","Wild",1955-04-07,96,2.82
"Quinalt","Historic","Wild",1955-04-12,101,3.2
"Quinalt","Historic","Wild",1955-04-17,106,4.27
"Quinalt","Historic","Wild",1955-04-22,111,2.63
