population,year,julian,HW,catch,period
Quillayute,1990,16,Wild,219,Current
Quillayute,1990,23,Hatchery,32,Current
Quillayute,1990,23,Wild,117,Current
Quillayute,1990,30,Hatchery,15,Current
Quillayute,1990,30,Wild,79,Current
Quillayute,1990,37,Hatchery,21,Current
Quillayute,1990,37,Wild,383,Current
Quillayute,1990,44,Hatchery,16,Current
Quillayute,1990,44,Wild,110,Current
Quillayute,1990,51,Hatchery,6,Current
Quillayute,1990,51,Wild,103,Current
Quillayute,1990,58,Hatchery,5,Current
Quillayute,1990,58,Wild,143,Current
Quillayute,1990,65,Hatchery,9,Current
Quillayute,1990,65,Wild,159,Current
Quillayute,1990,72,Hatchery,2,Current
Quillayute,1990,72,Wild,157,Current
Quillayute,1990,79,Hatchery,5,Current
Quillayute,1990,79,Wild,190,Current
Quillayute,1990,86,Hatchery,4,Current
Quillayute,1990,86,Wild,245,Current
Quillayute,1990,93,Hatchery,0,Current
Quillayute,1990,93,Wild,240,Current
Quillayute,1991,-34,Hatchery,37,Current
Quillayute,1991,-34,Wild,0,Current
Quillayute,1991,-27,Hatchery,192,Current
Quillayute,1991,-27,Wild,18,Current
Quillayute,1991,-20,Hatchery,548,Current
Quillayute,1991,-20,Wild,28,Current
Quillayute,1991,-13,Hatchery,738,Current
Quillayute,1991,-13,Wild,63,Current
Quillayute,1991,-6,Hatchery,545,Current
Quillayute,1991,-6,Wild,98,Current
Quillayute,1991,1,Hatchery,239,Current
Quillayute,1991,1,Wild,73,Current
Quillayute,1991,8,Hatchery,356,Current
Quillayute,1991,8,Wild,166,Current
Quillayute,1991,15,Hatchery,475,Current
Quillayute,1991,15,Wild,275,Current
Quillayute,1991,22,Hatchery,257,Current
Quillayute,1991,22,Wild,135,Current
Quillayute,1991,29,Hatchery,59,Current
Quillayute,1991,29,Wild,164,Current
Quillayute,1991,36,Hatchery,53,Current
Quillayute,1991,36,Wild,444,Current
Quillayute,1991,43,Hatchery,38,Current
Quillayute,1991,43,Wild,328,Current
Quillayute,1991,50,Hatchery,23,Current
Quillayute,1991,50,Wild,273,Current
Quillayute,1991,57,Hatchery,16,Current
Quillayute,1991,57,Wild,295,Current
Quillayute,1991,64,Hatchery,13,Current
Quillayute,1991,64,Wild,358,Current
Quillayute,1991,71,Hatchery,3,Current
Quillayute,1991,71,Wild,491,Current
Quillayute,1991,78,Hatchery,9,Current
Quillayute,1991,78,Wild,390,Current
Quillayute,1991,85,Hatchery,6,Current
Quillayute,1991,85,Wild,490,Current
Quillayute,1991,92,Hatchery,5,Current
Quillayute,1991,92,Wild,429,Current
Quillayute,1992,-35,Hatchery,99,Current
Quillayute,1992,-35,Wild,2,Current
Quillayute,1992,-28,Hatchery,129,Current
Quillayute,1992,-28,Wild,11,Current
Quillayute,1992,-21,Hatchery,275,Current
Quillayute,1992,-21,Wild,12,Current
Quillayute,1992,-14,Hatchery,301,Current
Quillayute,1992,-14,Wild,31,Current
Quillayute,1992,-7,Hatchery,1300,Current
Quillayute,1992,-7,Wild,259,Current
Quillayute,1992,0,Hatchery,467,Current
Quillayute,1992,0,Wild,190,Current
Quillayute,1992,7,Hatchery,150,Current
Quillayute,1992,7,Wild,48,Current
Quillayute,1992,14,Hatchery,177,Current
Quillayute,1992,14,Wild,124,Current
Quillayute,1992,21,Hatchery,88,Current
Quillayute,1992,21,Wild,94,Current
Quillayute,1992,28,Hatchery,192,Current
Quillayute,1992,28,Wild,521,Current
Quillayute,1992,35,Hatchery,81,Current
Quillayute,1992,35,Wild,348,Current
Quillayute,1992,42,Hatchery,40,Current
Quillayute,1992,42,Wild,241,Current
Quillayute,1992,49,Hatchery,23,Current
Quillayute,1992,49,Wild,262,Current
Quillayute,1992,56,Hatchery,24,Current
Quillayute,1992,56,Wild,299,Current
Quillayute,1992,63,Hatchery,23,Current
Quillayute,1992,63,Wild,536,Current
Quillayute,1992,70,Hatchery,3,Current
Quillayute,1992,70,Wild,350,Current
Quillayute,1992,77,Hatchery,11,Current
Quillayute,1992,77,Wild,467,Current
Quillayute,1992,84,Hatchery,4,Current
Quillayute,1992,84,Wild,122,Current
Quillayute,1992,91,Hatchery,10,Current
Quillayute,1992,91,Wild,294,Current
Quillayute,1993,-37,Hatchery,76,Current
Quillayute,1993,-37,Wild,11,Current
Quillayute,1993,-30,Hatchery,155,Current
Quillayute,1993,-30,Wild,14,Current
Quillayute,1993,-23,Hatchery,82,Current
Quillayute,1993,-23,Wild,24,Current
Quillayute,1993,-16,Hatchery,335,Current
Quillayute,1993,-16,Wild,46,Current
Quillayute,1993,-9,Hatchery,382,Current
Quillayute,1993,-9,Wild,83,Current
Quillayute,1993,-2,Hatchery,376,Current
Quillayute,1993,-2,Wild,80,Current
Quillayute,1993,5,Hatchery,266,Current
Quillayute,1993,5,Wild,151,Current
Quillayute,1993,12,Hatchery,202,Current
Quillayute,1993,12,Wild,183,Current
Quillayute,1993,19,Hatchery,95,Current
Quillayute,1993,19,Wild,122,Current
Quillayute,1993,26,Hatchery,38,Current
Quillayute,1993,26,Wild,110,Current
Quillayute,1993,33,Hatchery,16,Current
Quillayute,1993,33,Wild,64,Current
Quillayute,1993,40,Hatchery,2,Current
Quillayute,1993,40,Wild,38,Current
Quillayute,1993,47,Hatchery,13,Current
Quillayute,1993,47,Wild,84,Current
Quillayute,1993,54,Hatchery,1,Current
Quillayute,1993,54,Wild,72,Current
Quillayute,1993,61,Hatchery,3,Current
Quillayute,1993,61,Wild,167,Current
Quillayute,1993,68,Hatchery,8,Current
Quillayute,1993,68,Wild,66,Current
Quillayute,1993,75,Hatchery,2,Current
Quillayute,1993,75,Wild,119,Current
Quillayute,1993,82,Hatchery,3,Current
Quillayute,1993,82,Wild,138,Current
Quillayute,1993,89,Hatchery,2,Current
Quillayute,1993,89,Wild,92,Current
Quillayute,1994,-45,Hatchery,631,Current
Quillayute,1994,-45,Wild,32,Current
Quillayute,1994,-38,Hatchery,670,Current
Quillayute,1994,-38,Wild,45,Current
Quillayute,1994,-31,Hatchery,833,Current
Quillayute,1994,-31,Wild,91,Current
Quillayute,1994,-24,Hatchery,377,Current
Quillayute,1994,-24,Wild,75,Current
Quillayute,1994,-17,Hatchery,542,Current
Quillayute,1994,-17,Wild,161,Current
Quillayute,1994,-10,Hatchery,329,Current
Quillayute,1994,-10,Wild,193.5,Current
Quillayute,1994,-3,Hatchery,329,Current
Quillayute,1994,-3,Wild,193.5,Current
Quillayute,1994,4,Hatchery,133,Current
Quillayute,1994,4,Wild,207,Current
Quillayute,1994,11,Hatchery,42,Current
Quillayute,1994,11,Wild,87,Current
Quillayute,1994,18,Hatchery,37,Current
Quillayute,1994,18,Wild,105,Current
Quillayute,1994,25,Hatchery,7,Current
Quillayute,1994,25,Wild,55,Current
Quillayute,1994,32,Hatchery,12,Current
Quillayute,1994,32,Wild,74,Current
Quillayute,1994,39,Hatchery,12,Current
Quillayute,1994,39,Wild,106,Current
Quillayute,1994,46,Hatchery,2,Current
Quillayute,1994,46,Wild,302,Current
Quillayute,1994,53,Hatchery,2,Current
Quillayute,1994,53,Wild,145,Current
Quillayute,1994,60,Hatchery,2,Current
Quillayute,1994,60,Wild,171,Current
Quillayute,1994,67,Hatchery,0,Current
Quillayute,1994,67,Wild,50,Current
Quillayute,1994,74,Hatchery,1,Current
Quillayute,1994,74,Wild,28,Current
Quillayute,1994,81,Hatchery,0,Current
Quillayute,1994,81,Wild,143,Current
Quillayute,1994,88,Hatchery,3,Current
Quillayute,1994,88,Wild,139,Current
Quillayute,1995,-32,Hatchery,168,Current
Quillayute,1995,-32,Wild,6,Current
Quillayute,1995,-25,Hatchery,999,Current
Quillayute,1995,-25,Wild,77,Current
Quillayute,1995,-18,Hatchery,558,Current
Quillayute,1995,-18,Wild,57,Current
Quillayute,1995,-11,Hatchery,695,Current
Quillayute,1995,-11,Wild,50,Current
Quillayute,1995,-4,Hatchery,558,Current
Quillayute,1995,-4,Wild,66,Current
Quillayute,1995,3,Hatchery,446,Current
Quillayute,1995,3,Wild,120,Current
Quillayute,1995,10,Hatchery,401,Current
Quillayute,1995,10,Wild,222,Current
Quillayute,1995,17,Hatchery,232,Current
Quillayute,1995,17,Wild,271,Current
Quillayute,1995,24,Hatchery,176,Current
Quillayute,1995,24,Wild,220,Current
Quillayute,1995,31,Hatchery,70,Current
Quillayute,1995,31,Wild,191,Current
Quillayute,1995,38,Hatchery,28,Current
Quillayute,1995,38,Wild,94,Current
Quillayute,1995,45,Hatchery,24,Current
Quillayute,1995,45,Wild,147,Current
Quillayute,1995,52,Hatchery,7,Current
Quillayute,1995,52,Wild,56,Current
Quillayute,1995,59,Hatchery,7,Current
Quillayute,1995,59,Wild,225,Current
Quillayute,1995,66,Hatchery,4,Current
Quillayute,1995,66,Wild,392,Current
Quillayute,1995,73,Hatchery,3,Current
Quillayute,1995,73,Wild,250,Current
Quillayute,1995,80,Hatchery,2,Current
Quillayute,1995,80,Wild,136,Current
Quillayute,1995,87,Hatchery,3,Current
Quillayute,1995,87,Wild,220,Current
Quillayute,1995,94,Hatchery,10,Current
Quillayute,1995,94,Wild,502,Current
Quillayute,1995,122,Hatchery,0,Current
Quillayute,1995,122,Wild,56,Current
Quillayute,1996,-33,Hatchery,320,Current
Quillayute,1996,-33,Wild,30,Current
Quillayute,1996,-26,Hatchery,292,Current
Quillayute,1996,-26,Wild,21,Current
Quillayute,1996,-19,Hatchery,284,Current
Quillayute,1996,-19,Wild,12,Current
Quillayute,1996,-12,Hatchery,507,Current
Quillayute,1996,-12,Wild,78,Current
Quillayute,1996,-5,Hatchery,319,Current
Quillayute,1996,-5,Wild,87,Current
Quillayute,1996,2,Hatchery,474,Current
Quillayute,1996,2,Wild,81,Current
Quillayute,1996,9,Hatchery,310,Current
Quillayute,1996,9,Wild,110,Current
Quillayute,1996,16,Hatchery,182,Current
Quillayute,1996,16,Wild,184,Current
Quillayute,1996,23,Hatchery,170,Current
Quillayute,1996,23,Wild,230,Current
Quillayute,1996,30,Hatchery,76,Current
Quillayute,1996,30,Wild,313,Current
Quillayute,1996,37,Hatchery,10,Current
Quillayute,1996,37,Wild,164,Current
Quillayute,1996,44,Hatchery,4,Current
Quillayute,1996,44,Wild,132,Current
Quillayute,1996,51,Hatchery,10,Current
Quillayute,1996,51,Wild,227,Current
Quillayute,1996,58,Hatchery,8,Current
Quillayute,1996,58,Wild,302,Current
Quillayute,1996,65,Hatchery,2,Current
Quillayute,1996,65,Wild,460,Current
Quillayute,1996,72,Hatchery,2,Current
Quillayute,1996,72,Wild,304,Current
Quillayute,1996,79,Hatchery,0,Current
Quillayute,1996,79,Wild,30,Current
Quillayute,1996,86,Hatchery,5,Current
Quillayute,1996,86,Wild,345,Current
Quillayute,1996,93,Hatchery,0,Current
Quillayute,1996,93,Wild,313,Current
Quillayute,1996,121,Hatchery,0,Current
Quillayute,1996,121,Wild,53,Current
Quillayute,1997,-35,Hatchery,12,Current
Quillayute,1997,-35,Wild,0,Current
Quillayute,1997,-28,Hatchery,10,Current
Quillayute,1997,-28,Wild,2,Current
Quillayute,1997,-21,Hatchery,8,Current
Quillayute,1997,-21,Wild,0,Current
Quillayute,1997,-14,Hatchery,50,Current
Quillayute,1997,-14,Wild,5,Current
Quillayute,1997,-7,Hatchery,37,Current
Quillayute,1997,-7,Wild,12,Current
Quillayute,1997,0,Hatchery,372,Current
Quillayute,1997,0,Wild,70,Current
Quillayute,1997,7,Hatchery,135,Current
Quillayute,1997,7,Wild,117,Current
Quillayute,1997,14,Hatchery,106,Current
Quillayute,1997,14,Wild,97,Current
Quillayute,1997,21,Hatchery,53,Current
Quillayute,1997,21,Wild,103,Current
Quillayute,1997,28,Hatchery,41,Current
Quillayute,1997,28,Wild,133,Current
Quillayute,1997,35,Hatchery,7,Current
Quillayute,1997,35,Wild,64,Current
Quillayute,1997,42,Hatchery,4,Current
Quillayute,1997,42,Wild,59,Current
Quillayute,1997,49,Hatchery,12,Current
Quillayute,1997,49,Wild,141,Current
Quillayute,1997,56,Hatchery,0,Current
Quillayute,1997,56,Wild,71,Current
Quillayute,1997,63,Hatchery,13,Current
Quillayute,1997,63,Wild,245,Current
Quillayute,1997,70,Hatchery,2,Current
Quillayute,1997,70,Wild,90,Current
Quillayute,1997,77,Hatchery,0,Current
Quillayute,1997,77,Wild,70,Current
Quillayute,1997,84,Hatchery,2,Current
Quillayute,1997,84,Wild,222,Current
Quillayute,1997,91,Hatchery,3,Current
Quillayute,1997,91,Wild,220,Current
Quillayute,1997,119,Hatchery,1,Current
Quillayute,1997,119,Wild,52,Current
Quillayute,1998,-36,Hatchery,209,Current
Quillayute,1998,-36,Wild,23,Current
Quillayute,1998,-29,Hatchery,227,Current
Quillayute,1998,-29,Wild,5,Current
Quillayute,1998,-22,Hatchery,1001,Current
Quillayute,1998,-22,Wild,103,Current
Quillayute,1998,-15,Hatchery,853,Current
Quillayute,1998,-15,Wild,59,Current
Quillayute,1998,-8,Hatchery,556,Current
Quillayute,1998,-8,Wild,86,Current
Quillayute,1998,-1,Hatchery,1050,Current
Quillayute,1998,-1,Wild,203,Current
Quillayute,1998,6,Hatchery,306,Current
Quillayute,1998,6,Wild,212,Current
Quillayute,1998,13,Hatchery,177,Current
Quillayute,1998,13,Wild,126,Current
Quillayute,1998,20,Hatchery,126,Current
Quillayute,1998,20,Wild,245,Current
Quillayute,1998,27,Hatchery,22,Current
Quillayute,1998,27,Wild,132,Current
Quillayute,1998,34,Hatchery,42,Current
Quillayute,1998,34,Wild,248,Current
Quillayute,1998,41,Hatchery,20,Current
Quillayute,1998,41,Wild,268,Current
Quillayute,1998,48,Hatchery,14,Current
Quillayute,1998,48,Wild,339,Current
Quillayute,1998,55,Hatchery,8,Current
Quillayute,1998,55,Wild,193,Current
Quillayute,1998,62,Hatchery,1,Current
Quillayute,1998,62,Wild,94,Current
Quillayute,1998,69,Hatchery,2,Current
Quillayute,1998,69,Wild,170,Current
Quillayute,1998,76,Hatchery,0,Current
Quillayute,1998,76,Wild,172,Current
Quillayute,1998,83,Hatchery,3,Current
Quillayute,1998,83,Wild,209,Current
Quillayute,1998,90,Hatchery,0,Current
Quillayute,1998,90,Wild,165,Current
Quillayute,1998,118,Hatchery,0,Current
Quillayute,1998,118,Wild,31,Current
Quillayute,1999,-37,Hatchery,50,Current
Quillayute,1999,-37,Wild,0,Current
Quillayute,1999,-30,Hatchery,82,Current
Quillayute,1999,-30,Wild,0,Current
Quillayute,1999,-23,Hatchery,97,Current
